Word,Occurrences,Steps
orchards,1,1
girlhood,1,1
suffer,5,9
more,340,679
choose,13,25
THE,18,35
tiles,1,1
doctor,12,23
afore,1,1
covet,1,1
formal,4,7
whichever,2,3
attended,1,1
current,1,1
Turn,1,1
frankness,5,9
inaudible,2,3
evolved,1,1
stile,3,5
shames,1,1
dinner,47,93
burden,12,23
sounded,14,27
persons,10,19
soiled,2,3
injustice,2,3
yer,3,5
pointing,4,7
shock,6,11
stratagem,1,1
vampire,1,1
Loved,1,1
collars,3,5
furnished,3,5
loyally,1,1
Turner,2,3
numerous,2,3
nipped,1,1
Soldier,1,1
mercies,1,1
Blurred,1,1
destination,1,1
rare,1,1
meet,28,55
cologne,4,7
speechless,2,3
yes,21,41
pegging,2,3
delicious,9,17
traveler,3,5
living,20,39
infinitely,3,5
cheat,3,5
Author,1,1
fatherless,1,1
persisted,4,7
shadows,2,3
scribbling,4,7
diary,1,1
intended,4,7
ON,1,1
Hospitable,1,1
Priscilla,1,1
dollar,5,9
too,193,385
yet,84,167
waited,20,39
dictionaries,1,1
cook,8,15
Marmees,4,7
disgusted,6,11
claws,1,1
governesses,1,1
skipped,5,9
outcry,1,1
prudence,2,3
fermented,1,1
ordained,1,1
Hotel,1,1
developed,2,3
embers,1,1
dats,1,1
Faded,1,1
excellently,5,9
No,142,283
rehearsal,2,3
top,11,21
appeal,5,9
Ought,2,3
meekly,9,17
mischievous,8,15
tweaked,2,3
beloved,19,37
newly,4,7
banishing,1,1
cool,28,55
itself,13,25
SUDS,1,1
steadied,1,1
wavering,1,1
underlies,1,1
offices,2,3
volumes,1,1
coldness,1,1
inventor,1,1
gloves,28,55
flow,3,5
dove,4,7
Amys,76,151
even,100,199
pancakes,1,1
tripped,2,3
tempest,2,3
Brown,5,9
bathed,1,1
Babel,1,1
[The,1,1
gallantly,4,7
Sairy,1,1
starched,2,3
blazed,2,3
Read,4,7
WOMEN,1,1
objected,3,5
Rue,1,1
officer,1,1
stumped,1,1
ethereal,2,3
thinner,1,1
bye,2,3
capture,1,1
Selfish,1,1
simmered,1,1
comelier,1,1
policy,1,1
tails,3,5
share,13,25
rosy,27,53
written,19,37
consented,7,13
romps,2,3
adding,15,29
poetry,11,21
escape,9,17
perked,1,1
Fiddlesticks,1,1
brings,5,9
lumbering,2,3
ventured,1,1
proving,4,7
yourselves,2,3
Doesnt,3,5
anchor,2,3
twisting,1,1
dint,1,1
clumping,2,3
denounced,1,1
bib,4,7
reposing,1,1
detection,1,1
verb,1,1
recollect,1,1
still,93,185
names,10,19
region,1,1
phine,3,5
drops,7,13
palace,2,3
privately,7,13
casts,2,3
Therefore,4,7
closed,7,13
semioccasional,1,1
Change,2,3
undisguised,2,3
rekindled,1,1
repose,6,11
Plato,4,7
General,1,1
estimate,1,1
bolted,3,5
meanness,1,1
foibles,1,1
awhile,1,1
Hail,1,1
shadowy,2,3
upstairs,21,41
bid,5,9
croaked,3,5
sudden,41,81
cannot,20,39
hugging,4,7
patience,34,67
strength,14,27
jackdaw,1,1
Cockle,1,1
Bad,3,5
confessing,1,1
mourning,1,1
benefactor,1,1
manful,2,3
industrious,2,3
reported,1,1
viciously,1,1
conquering,3,5
tenders,1,1
exonerate,1,1
vocal,1,1
coop,1,1
tantalizing,1,1
dignity,14,27
ever,171,341
blue,64,127
waving,7,13
les,1,1
respect,28,55
slowly,33,65
fare,6,11
attracts,1,1
endeared,2,3
telegrams,2,3
graciously,8,15
leisurely,4,7
postman,2,3
treadmill,1,1
oil,2,3
hymn,4,7
Colonel,1,1
compensation,2,3
blisters,1,1
salads,1,1
realize,3,5
sugarplum,1,1
Dorcas,1,1
Five,1,1
worst,10,19
let,141,281
Nothing,12,23
panes,1,1
bell,12,23
womans,8,15
humor,5,9
surpass,1,1
Dance,1,1
Atlanta,1,1
confides,1,1
serpent,1,1
screwed,1,1
conferences,1,1
cages,1,1
Following,1,1
consciously,1,1
planned,13,25
big,89,177
harder,18,35
Apollyon,2,3
send,36,71
stained,2,3
thrash,2,3
aches,3,5
balls,1,1
attracted,4,7
withdrawn,2,3
desperandum,1,1
vehicle,2,3
CONSEQUENCES,1,1
huffy,1,1
Constant,1,1
squalling,1,1
Prone,1,1
said,827,1653
sure,86,171
those,75,149
Fortunately,4,7
undecided,6,11
hadnt,29,57
cane,4,7
solitary,9,17
March:,2,3
counting,2,3
twirled,2,3
chicks,1,1
salad,7,13
heated,1,1
bijou,1,1
bosoms,1,1
stars,3,5
underside,1,1
accordingly,2,3
coquettish,3,5
undone,1,1
necessaries,2,3
yards,2,3
Providence,1,1
jewelry,1,1
conquered,7,13
true,42,83
croak,8,15
trump,5,9
Zara,11,21
gruff,5,9
hesitating,1,1
start,13,25
youve,15,29
languid,1,1
delve,1,1
leaping,1,1
facinating,1,1
proxy,2,3
implore,2,3
toy,2,3
summary,2,3
interference,1,1
flourishing,2,3
weaned,1,1
faintest,1,1
&,1,1
nearer,13,25
neglected,12,23
vittles,2,3
scorn,3,5
speaks,6,11
telling,16,31
dreary,4,7
ob,2,3
John,159,317
properly,12,23
Theatre,2,3
chuckled,1,1
upright,2,3
absent,11,21
conflagration,1,1
suiting,1,1
Run,1,1
threaten,1,1
buttoned,2,3
obstreperous,1,1
establishing,1,1
pauses,1,1
got,255,509
handsomest,1,1
sister,67,133
prisoner,3,5
geranium,1,1
flown,2,3
elegance,7,13
ruffled,8,15
mort,1,1
captain,5,9
coverlet,2,3
sturdily,1,1
receiving,3,5
taper,1,1
harden,1,1
Blanc,1,1
coveted,5,9
upsets,1,1
suggest,3,5
feelers,1,1
rendering,1,1
graduates,1,1
rummaged,1,1
fiddle,1,1
magical,1,1
draggle,1,1
somewhere,6,11
slammed,2,3
spangles,1,1
luck,2,3
spoil,18,35
dickens,3,5
blooming,2,3
wrote,25,49
erect,5,9
starch,2,3
dragon,2,3
Couldnt,4,7
integrity,2,3
battered,1,1
capaline,1,1
balustrade,2,3
unquiet,1,1
sharp,23,45
Make,7,13
remarkably,6,11
interrupted,7,13
differ,2,3
tree,13,25
stealthy,2,3
topsl,1,1
it),2,3
snip,1,1
laboured,1,1
goodly,2,3
withdrew,1,1
lurch,2,3
farm,1,1
conciliatory,1,1
Mammas,2,3
prosperous,2,3
unwomanly,1,1
of,3354,6707
bags,5,9
Laurence,94,187
belt,2,3
nestled,5,9
constantly,4,7
impossible,32,63
Saturday,12,23
hateful,1,1
confounded,5,9
Unmask,1,1
Millinery,1,1
pitcher,2,3
fill,10,19
wherry,1,1
Sakes,1,1
Greatheart,1,1
crowning,4,7
unmercifully,1,1
handshake,2,3
traits,1,1
Gott,4,7
wind,21,41
exercise,17,33
further,9,17
address,4,7
resolve,6,11
disfavor,1,1
Antonio,2,3
Language,1,1
weathercock,4,7
unlock,1,1
frowning,1,1
PLEASANT,1,1
strongminded,1,1
forboding,1,1
defense,1,1
darned,1,1
corpse,1,1
roamed,4,7
Castle,2,3
sleepless,1,1
Later,1,1
across,20,39
clever,8,15
wine,11,21
papers,13,25
scorched,4,7
oh,19,37
sail,6,11
savage,1,1
denial,4,7
Browns,1,1
undertaken,1,1
inaudibly,1,1
worktable,2,3
byes,2,3
whistling,2,3
doves,2,3
homeward,3,5
breakages,1,1
cheese,2,3
loveliest,2,3
Fechter,1,1
politics,5,9
proves,1,1
concocting,1,1
FORGET,1,1
linger,1,1
gentlemanly,5,9
sick,34,67
stalked,5,9
leading,4,7
event,3,5
fresh,30,59
mortification,3,5
pricked,3,5
rode,6,11
pucker,2,3
Englishwoman,1,1
insensibly,1,1
woes,1,1
chests,4,7
tape,1,1
capricious,2,3
magnanimity,2,3
Mercifully,1,1
Love,5,9
bulbs,1,1
saunter,1,1
plateau,1,1
chessboard,1,1
scorching,1,1
attitudes,3,5
Buzz,1,1
hurting,2,3
coralline,1,1
PC,3,5
nightingales,1,1
assured,5,9
pudding,8,15
spire,1,1
Breakfast,1,1
milkman,1,1
streamed,2,3
execute,1,1
widows,1,1
fighter,1,1
couples,3,5
enabled,1,1
sublime,1,1
strikes,1,1
masterly,1,1
prospering,1,1
wing,1,1
Gods,2,3
Publique,1,1
Babyland,1,1
blur,1,1
soothes,1,1
neednt,23,45
delightful,28,55
vivan,1,1
lazy,13,25
lids,3,5
resolution,10,19
arose,4,7
villains,1,1
says,52,103
refuge,9,17
jerk,2,3
shining,9,17
criticisms,1,1
importance,1,1
scolds,1,1
straLanguage,1,1
stalks,1,1
report,5,9
Blank,1,1
romances,4,7
slopbowl,1,1
Dukes,1,1
vengeance,1,1
counts,1,1
ransacked,1,1
repress,1,1
sentiments,1,1
millennium,1,1
surrendering,1,1
Columella,1,1
The,361,721
began,153,305
bit,48,95
blanket,3,5
shiver,4,7
cabinets,1,1
refractory,3,5
dearer,4,7
coral,2,3
demurely,2,3
thrones,1,1
pinks,1,1
Augustus,1,1
thoughtlessness,1,1
concerned,1,1
Mercury,1,1
larger,1,1
rained,2,3
fished,1,1
dates,1,1
forgif,1,1
irascible,3,5
reminds,4,7
increased,5,9
frank,4,7
oration,2,3
hampers,1,1
pettishly,2,3
extinguish,1,1
dissatisfaction,2,3
prices,2,3
Queen,3,5
2,3,5
Mop,1,1
opposition,3,5
confided,4,7
Michelangelo,1,1
police,2,3
notions,2,3
imbecile,1,1
haughty,3,5
exclusion,1,1
recognize,2,3
thither,1,1
oblivious,1,1
on,936,1871
had,1062,2123
pulling,6,11
Aster,1,1
wink,1,1
rains,1,1
Cutter,3,5
Of,44,87
packing,1,1
housekeeping,6,11
British,5,9
queerly,2,3
polish,4,7
damask,1,1
frolicsome,1,1
gallows,1,1
Lager,1,1
opinions,2,3
Smoke,1,1
Trop,1,1
pickers,1,1
Father,83,165
money,88,175
cant,176,351
sent,52,103
kind,112,223
ceremonies,5,9
opening,9,17
description,4,7
maam,22,43
Grace,11,21
prospect,15,29
unseen,3,5
culprits,2,3
behaving,2,3
market,4,7
scoldings,2,3
spares,2,3
retaliation,1,1
costume,4,7
amuses,1,1
balcony,2,3
Nile,1,1
Continent,2,3
trinkets,2,3
UNDER,1,1
happier,8,15
Oh,119,237
costing,1,1
mount,1,1
acted,6,11
bracelets,2,3
prepare,5,9
contrasted,3,5
beaming,6,11
turtles,2,3
smiles,6,11
sickness,1,1
devices,6,11
serenely,1,1
mantlepiece,3,5
columns,2,3
production,1,1
ledge,2,3
haf,29,57
Marry,1,1
monosyllable,2,3
TIME,1,1
sowing,1,1
very,474,947
frightened,22,43
mittens,2,3
carried,19,37
agreeable,22,43
paused,17,33
gracefully,10,19
March),1,1
tucks,2,3
Although,2,3
regretted,9,17
winked,1,1
worth,20,39
plantation,1,1
puns,1,1
Lady,4,7
develops,1,1
authoress,4,7
sob,7,13
wrought,4,7
malicious,2,3
blandly,3,5
scholar,3,5
that),1,1
luggage,1,1
patronize,1,1
writ,1,1
Dicks,1,1
or,429,857
boys,97,193
absurd,13,25
Bless,25,49
putting,25,49
Marches,12,23
urgency,1,1
topsy,7,13
trembled,6,11
Silly,1,1
Ferdinand,2,3
7th,1,1
king,2,3
castles,2,3
earnestness,4,7
TWENTY,10,19
moralize,1,1
advising,1,1
congratulate,3,5
cements,1,1
quandary,2,3
uncle,2,3
footed,2,3
gain,3,5
graduated,1,1
prince,2,3
phantom,3,5
Glad,3,5
cheery,9,17
Hannah,114,227
beggin,1,1
agitation,1,1
ahs,1,1
tastes,7,13
chance,22,43
affectionately,2,3
lifts,1,1
expressive,5,9
schoolgirl,1,1
Him,4,7
tres,2,3
equal,8,15
Welleresque,1,1
pitch,2,3
headfirst,1,1
subjection,2,3
darlings,2,3
TURVY,1,1
blew,4,7
rewrite,1,1
denouement,1,1
bedside,3,5
Russians,1,1
perplex,1,1
precocious,4,7
Blest,1,1
quietly,39,77
within,12,23
least,30,59
dressing,14,27
frolic,7,13
united,1,1
Laugh,1,1
calls,19,37
countenance,15,29
rainy,4,7
kneel,1,1
retired,8,15
bird,16,31
pitched,2,3
appetites,1,1
feels,9,17
creep,1,1
cheerily,1,1
sells,1,1
PM,1,1
condescended,2,3
inevitable,2,3
Actually,1,1
DEMI,1,1
bloomed,3,5
Hide,1,1
Afar,1,1
Hush,8,15
reproachfully,3,5
groom,1,1
blushes,1,1
assert,3,5
promenading,2,3
sneaking,1,1
smelled,1,1
JANUARY,1,1
Often,3,5
clothesbrush,1,1
enjoy,59,117
keeping,19,37
pilgrims,4,7
On,26,51
Heidelberg,1,1
visiting,4,7
neighborly,3,5
singers,1,1
PO,1,1
motioned,1,1
officers,2,3
chilled,2,3
comment,2,3
Burney,1,1
driving,2,3
somersault,1,1
Thanks,3,5
perishable,1,1
vacancies,1,1
Frenchy,1,1
desultory,1,1
West,2,3
asked,252,503
preparing,9,17
inside,10,19
performance,6,11
morally,2,3
Madam,5,9
inmost,1,1
bridled,1,1
yielded,3,5
Hortense,3,5
rash,9,17
anointed,1,1
proved,14,27
wearin,2,3
rule,6,11
tantrums,1,1
Want,3,5
workaday,2,3
reverie,3,5
lighting,1,1
outset,1,1
snake,1,1
coals,1,1
Talent,1,1
freshest,1,1
exploring,1,1
Germanic,1,1
should,191,381
though,171,341
trusted,4,7
mother,156,311
thrill,3,5
heeled,4,7
anxious,38,75
grandpa,11,21
guard,9,17
race,5,9
swell,1,1
keg,1,1
meshes,1,1
SONG,1,1
uncomplainingly,1,1
Christ,1,1
streamer,1,1
bounce),1,1
bespattered,1,1
Forum,1,1
woodbine,1,1
gabble,1,1
learns,1,1
autocrat,1,1
comical,18,35
turns,8,15
cheers,4,7
flattering,3,5
country,11,21
perfectly,28,55
His,21,41
parrot,4,7
tempers,5,9
tenderest,6,11
soothed,5,9
regarded,10,19
confide,2,3
star,2,3
tore,5,9
decks,2,3
misfortune,2,3
contradick,1,1
forebearing,1,1
ATTEMPTS,1,1
yard,1,1
discomfiture,1,1
manger,2,3
(as,1,1
message,4,7
Or,6,11
temper,23,45
Girls,9,17
daughters,18,35
dampness,2,3
lake,10,19
dining,6,11
Youll,20,39
inquire,4,7
Edgeworth,2,3
brotherly,8,15
deposited,1,1
Satan,2,3
News,1,1
wield,1,1
endure,1,1
testiment,1,1
stubborn,1,1
prescribed,1,1
cherry,4,7
deared,1,1
PS,1,1
persuade,1,1
opportunities,3,5
cotillion,1,1
unfinished,4,7
butter,7,13
keys,5,9
grand,23,45
greeted,4,7
heel,3,5
whenever,16,31
adventure,2,3
knees,8,15
Washington,13,25
Better,3,5
glorious,6,11
foe,1,1
sealed,3,5
farther,1,1
attack,4,7
breaks,3,5
trunk,5,9
horns,1,1
variable,1,1
Leaving,3,5
commander,3,5
testing,1,1
portfolio,3,5
nettled,4,7
wrenched,1,1
serene,10,19
delays,1,1
wherein,2,3
statue,4,7
Seldom,1,1
embalm,1,1
pierce,1,1
thin,20,39
A,141,281
elegantly,1,1
compliments,10,19
gossip,18,35
jeune,1,1
bronzes,1,1
VALLEY,2,3
flashed,3,5
eaten,3,5
tempted,6,11
epitaph,1,1
messroom,1,1
supporting,1,1
intonation,1,1
Desert,1,1
outbreak,1,1
tying,2,3
freshen,1,1
chapel,5,9
cambric,2,3
parks,2,3
har,1,1
plunge,2,3
worshiped,1,1
inconsolable,1,1
talented,1,1
Papa,17,33
softened,5,9
chorus,3,5
useful,29,57
has,152,303
son,18,35
beauties,2,3
flowery,2,3
sugar,13,25
B,1,1
meditative,3,5
players,1,1
dolefully,1,1
beliefs,3,5
mock,1,1
fog,3,5
exasperated,1,1
Robin,1,1
prophetic,1,1
reportable,1,1
lessons,31,61
thirteen,1,1
spared,5,9
except,39,77
hat,55,109
amused,20,39
daring,3,5
rack,3,5
intelligent,3,5
C,3,5
traitor,2,3
dusted,2,3
fastening,2,3
treats,1,1
LAND,1,1
cases,3,5
meddle,1,1
believing,4,7
Fame,1,1
Dundee,1,1
philosophy,3,5
celebrities,2,3
Franca,1,1
republican,1,1
kicked,2,3
riders,1,1
Ow,1,1
dancing,11,21
marked,7,13
smiled,48,95
enacted,2,3
Eve,5,9
Sunday,2,3
unlike,4,7
olives,1,1
flaming,1,1
Frenchwoman,5,9
everyones,2,3
emotions,4,7
critic,1,1
trickled,1,1
pave,1,1
overwhelmed,2,3
Richmond,1,1
ardent,3,5
significantly,1,1
Bible,1,1
Kant,1,1
useless,3,5
Hamlets,1,1
lakes,1,1
nourish,1,1
words,111,221
returned,70,139
face,254,507
stay,62,123
carries,1,1
Tumultuous,1,1
chillen,1,1
hoarsely,1,1
properties,1,1
Pickwick,14,27
unite,1,1
churchyard,1,1
Spread,4,7
Mamma,16,31
enthroned,2,3
soldiers,3,5
marrying,2,3
moulding,1,1
coughed,1,1
moneys,1,1
aye,1,1
Que,1,1
rampage,1,1
imperceptibly,1,1
down,285,569
this,343,685
picture,27,53
entirely,20,39
delights,5,9
desire,17,33
sleigh,2,3
offering,9,17
grieved,7,13
irksome,3,5
worship,3,5
puppies,1,1
moss,1,1
jabbering,1,1
contrast,4,7
turkey,3,5
swarming,1,1
seaside,2,3
bared,1,1
pipe,1,1
mists,1,1
addressing,1,1
metaphorically,1,1
delicately,1,1
hours,23,45
March,287,573
most,149,297
end,56,111
side,53,105
objection,4,7
whisked,9,17
tramped,3,5
bliss,4,7
heavy,29,57
Wicket,1,1
tasted,3,5
torn,6,11
strengthened,3,5
confession,2,3
manifest,1,1
Hold,9,17
France,3,5
Indeed,4,7
hideous,1,1
escorted,3,5
effusion,1,1
fragments,4,7
direct,1,1
criticizing,1,1
voluminous,2,3
contradict,1,1
hoist,1,1
alders,1,1
quiet,70,139
wings,4,7
flowers,62,123
setting,7,13
yarn,1,1
mild,9,17
Lion,2,3
aid,2,3
prevent,3,5
passions,3,5
renewed,1,1
Demijohn,2,3
predictions,1,1
nightingale,1,1
cultivating,1,1
bijouterie,1,1
dejected,1,1
benevolence,1,1
curves,1,1
sot,1,1
mutual,3,5
hay,1,1
fulfill,1,1
I,3151,6301
wanted,68,135
slang,5,9
hopeful,9,17
baize,1,1
apparition,2,3
blushed,8,15
copy,11,21
twitching,1,1
distress,1,1
ennui,2,3
Snuffbox,1,1
saint,9,17
imagining,3,5
disgraceful,1,1
esteem,1,1
starred,1,1
trustful,1,1
Difficulty,1,1
confidante,2,3
balmy,1,1
historian,1,1
distorting,1,1
rainbows,1,1
blent,1,1
fierce,4,7
obeyed,7,13
diligently),1,1
